Count,Name,Example,Action Type,Category,Description
292,Swallow,Behir,Action,Attack,"The $ makes one bite attack against a two sizes smaller or smaller target it is grappling. If the attack hits, the target is also swallowed and the grapple ends. While swallowed, the target is blinded and restrained, it has total cover against attacks and other effects outside the $, and it takes acid damage at the start of each of the $'s turns. A creature can have only one creature swallowed at a time. If the $ takes ## damage or more from a single swallowed creature, the $ must succeed on a DC ## Constitution saving throw at the end of that turn or regurgitate the $, which falls prone in a space within 10 feet of the $. If the $ dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 15 feet of movement, exiting prone."
336,Chomp,Tarrasque,Legendary Action,Attack,The $ makes one bite attack or uses its Swallow.
328,Bite,Vampire,Legendary Action,Attack,The $ makes one bite attack.
355,Tail Swipe,Aboleth,Legendary Action,Attack,The $ makes one tail attack.
357,Tentacle Attack,Kraken,Legendary Action,Attack,The $ makes one tentacle attack.
359,Unarmed Strike,Vampire,Legendary Action,Attack,The $ makes one unarmed strike.
252,Reel,Roper,Action,Attack,The $ pulls each creature grappled by it up to 25 feet straight towards it.
175,Eye Rays,Beholder,Action,Attack,"The $ shoots three of the following magical eye rays at random (reroll duplicates), choosing one to three targets it can see within 120 feet of it: SEE PAGE 28 FOR OPTIONS."
301,Tentacle Slam,Otyugh,Action,Attack,"The $ slams creatures grappled by it into each other or a solid surface. Each creature must succeed on a DC ## Strength saving throw or take bludgeoning damage and be stunned until the end of the $'s next turn. On a successful save, the target takes half the bludgeoning damage and isn't stunned."
160,Devour Intellect,Intellect Devourer,Action,Attack,"The $ targets one creature it can see within 10 feet of it that has a brain. The target must succeed on a DC ## Intelligence saving throw against this magic or take psychic damage. Also on a failure, roll 3d6: If the total equals or exceeds the target's Intelligence score, the score is reduced to 0. The target is stunned until it regains at least one point of Intelligence."
144,Chilling Gaze,Yeti,Action,Attack,"The $ targets one creature it can see within 30 feet of it. If the target can see the $, the target must succeed on a DC ## Constitution saving throw against this magic or take cold damage and then be paralyzed for 1 minute unless it is immune to cold damage. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If the target's saving throw is successful, or if the effect ends on it, the target is immune to the Chilling Gaze of all similar creatures for 1 hour."
257,Rotting Gaze,Nothic,Action,Attack,The $ targets one creature it can see within 30 feet of it. The target must succeed on a DC ## Constitution saving throw against this magic or take necrotic damage.
159,Death Glare,Sea Hag,Action,Attack,"The $ targets one frightened creature it can see within 30 feet of it. If the target can see the $, it must succeed on a DC ## Wisdom saving throw against this magic or drop to 0 hit points."
343,Fling,Kraken,Legendary Action,Attack,The $ uses its Fling.
341,Eye Ray,Beholder,Legendary Action,Attack,The $ uses one random eye ray.
350,Paralyzing Touch,Lich,Legendary Action,Attack,The $ uses paralyzing touch.
232,Nightmare Haunting,Night Hag,Action,Attack,"While on the Ethereal Plane, the $ magically touches a sleeping humanoid on the Material Plane. A protection from evil and good spell cast on the target prevents this contact, as does a magic circle. As long as the contact persists, the target has dreadful visions. If these visions last for at least 1 hour, the target gains no benefit from its rest, and its hit point maximum is reduced. If this effect reduces the target's hit point maximum to 0, the target dies, and if the target was evil, its soul is trapped in the $'s soul bag. The reduction to the target's hit point maximum lasts until removed by a greater restoration spell or similar magic."
155,Curse of the Evil Eye,Fomorian,Action,Attack,"With a stare, the $ uses Evil Eye, but on a failed save, the $ is also cursed with magical deformaties. While deformed, the $ has its speed halved and has disadvantage on ability checks, saving throws, and attacks based on Strength or Dexterity. The transformed creature can repeat the saving throw whenever it finishes a long rest, ending the effect on a success."
211,Intoxicating Touch,Lamia,Action,Attack Debuff,"Melee spell attack. If hit, the target is magically cursed for 1 hour. Until the curse ends, the target has disadvantage on Wisdom saving throws and ability checks."
236,Paralyzing Touch,Lich,Action,Attack Debuff,"Melee spell attack. If hit, the target must succeed on a DC ## Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on a success."
187,Glaive,Bearded Devil,Action,Attack Debuff,"Melee weapon attack. If hit and the target is a creature other than an undead or a construct, it must succeed on a DC ## Constitution saving throw or lose hit points at the start of each of its turns due to an infernal wound. Each time the $ hits the wounded target with this attack, the damage dealt by the wound increases. Any creature can take the medicine action to staunch the wound with a successful DC ## Wisdom (Medicine) check. The wound also closes if the target recieves magical healing."
304,Tusks,Wereboar,Action,Attack Debuff,"Melee weapon attack. If hit and the target is a humanoid, it must succeed on a DC ## Constitution saving throw or be cursed with wereboar lycanthropy."
154,Crush,Darkmantle,Action,Attack Debuff,"Melee weapon attack. If hit and the target is one size larger than creature or smaller, it attaches to the target, has advantage on attack rolls against the target, and can be detached by making a successful DC ## Strength check as an action."
224,Maul,Dao,Action,Attack Debuff,"Melee weapon attack. If hit and the target is one size larger than creature or smaller, it must succeed on a DC ## Strength check or be knocked prone."
241,Pincer Staff,Kuo-Toa Whip,Action,Attack Debuff,"Melee weapon attack. If hit, and same size or smaller, the target is grappled (escape DC ##). Until this grapple ends, the $ can't use its pincer staff on another target."
302,Touch,Fire Elemental,Action,Attack Debuff,"Melee weapon attack. If hit, and the target is a ceature or a flammable object, it ignites. Until the $ takes an action to douse the fire, it takes fire damage at the start of each of its turns."
299,Tendrils,Flumph,Action,Attack Debuff,"Melee weapon attack. If hit, at the end of each of its turns, the target must make a DC ## Constitution saving throw, taking acid damage on a failure or ending the recurring acid damage on a success. A lesser restoration spell cast on the target also ends the recurring acid damage."
276,Smother,Rug of Smothering,Action,Attack Debuff,"Melee weapon attack. If hit, the $ is grappled (escape DC ##). Until this graple ends, the target is restrained, blinded, and at risk of suffocating, and the $ can't smother another target. In addition, at the start of each of the target's turns, the target takes bludgeoning damage."
240,Pincer,Chuul,Action,Attack Debuff,"Melee weapon attack. If hit, the target is grappled (escape DC ##) if it is a same size as creature or smaller creature and the $ doesn't have two other creatures grappled."
140,Chain,Chain Devil,Action,Attack Debuff,"Melee weapon attack. If hit, the target is grappled (escape DC ##) if the $ isn't already grappling a creature. Until this grapple ends, the target is restrained and takes piercing damage at the start of each of its turns."
256,Rotting Fist,Mummy,Action,Attack Debuff,"Melee weapon attack. If the target is a creature, it must succeed on a DC ## Constitution saving throwor be cursed with rot. The cursed target can't regain hit points, and its hit point maximum decreases for every 24 hours that elapse. If the curse reduces the target's hit point maximum to 0, the target dies and its body turns to dust. The curse lasts until removed by the remove curse spell or other magic."
264,Shield Bash,Hobgoblin Warlord,Action,Attack Debuff,"Melee weapon attack. If the target is one size larger or smaller, it must succeed on a DC ## Strength saving throw or be knocked prone."
182,Fling,Kraken,Action,Attack Debuff,"One reasonably smaller creature held or grappled by the $ is thrown up to 60 feet in a random direction and knocked prone. If a thrown target strikes a solid surface, the target takes bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must succeed on a DC ## Dexterity saving throw or take the same damage and be knocked prone."
206,Hurl Flame,Barbed Devil,Action,Attack Debuff,"Ranged spell attack. If the target is a flammable object that isn't being worn or carried, it also catches fire."
231,Net,Kuo-Toa,Action,Attack Debuff,"Ranged weapon attack. If hit, and large or smaller, the target is restrained.  Creature can use its action to make a DC ## Strength check to free itself or another creature in a net, ending the effect on a success. Dealing slashing damage to the net (AC 10) frees the target without harming it and destroys the net."
243,Poisoned Dart,Deep Gnome,Action,Attack Debuff,"Ranged weapon attack. If hit, the target must succeed on a DC ## Constitution saving throw or be poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
3,Adhesive,Mimic,Special Ability,Attack Debuff,The $ adheres to anything that touches it. A Huge or smaller creature adhered to the mimic is also grappled by it (escape DC ##). Ability checks made to escape this grapple have disadvantage.
288,Strength Drain,Shadow,Action,Attack Debuff Spawn,"Melee weapon attack. If hit, the target's Strength score is reduced by 1d4. The target dies if this reduces its Strength to 0. Otherwise, the reduction lasts until the target finishes a short or long rest. If a non-evil human dies from this attack, a new shadow rises from the corpose 1d4 hours later."
209,Incite Rampage,Gnoll Pack Lord,Action,Buff,One creature that the $ can see within 30 feet of it can use its reaction to make a melee attack if it can hear the $ and has the Rampage trait. 
353,Shimmering Shield,Unicorn,Legendary Action,Buff,"The $ creates a shimmering, magical field around itself or another creature it can see within 60 feet of it. The target gains a bonus to AC until the end of the $'s next turn."
195,Healing Touch,Deva,Action,Buff,"The $ touches another creature. The target magically regains hit points and is freed from any curse, disease, poison, blindness, or deafness."
194,Haste,Clay Golem,Action,Buff,"Until the end of its next turn, the $ magically gains +2 bonus to its AC, has advantage on Dexterity saving throws, and can use its primary attack as a bonus action.,"
322,Shield,Shield Guardian,Reaction,Buff,"When a creature makes an attack against the wearer of the $'s amulet, the $ grants a bonus to the wearer's AC if the $ is within 5 feet of the wearer."
250,Rapport Spores,Myconid Sprout,Action,Communication,"A sphere of spores extends from the $. These spores can go around corners and affect only creatures with an Intelligence of 2 or higher that arent undead, constructs, or elementals. Affected creatures can communicate telephathically with one another while they are within 30 feet of each other. The effect lasts for 1 hour."
82,Probing Telepathy,Aboleth,Special Ability,Communication,"If a creature communicates telepathically with the $, the $ learns the $'s greatest desires if the $ can see it."
110,Telepathic Bond,Homunculus,Special Ability,Communication,"While the $ is on the same plane of existance as its master, it can magically convey what it senses to its master, and the two can communicate telepathically."
259,Scare,Quasit,Action,Debuff,"One creature of the $'s choice within 20 feet of it must succeed on a DC ## Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, with disadvantage if the $ is within line of sight, ending the effect on itself on a success."
178,Fiendish Charm,Cambion,Action,Debuff,"One humanoid that the $ can see within 30 feet must succeed on a DC ## Wisdom saivng throw or be magically charmed for 1 day. The charmed creature obeys the $'s spoken commands. If the target suffers any harm from the $ or another creature or receives a suicidal command from the $, the target can repeat the saving throw, ending the effect on itself on a success. If the target's saving throw is successful, or if the effect ends for it, the $ is immune to the $'s Fiendish Charm for the next 24 hours."
244,Possession,Ghost,Action,Debuff,"One humanoid that the $ can see within 5 feet of it must succeed on a DC ## Charisma saving throw or be possessed by the $; the $ then disappears, and the target is incapacitated and loses control of its body. The $ now controls the body but doesn't deprive the target of awareness. The $ can't be targeted by an attack, spell, or other effect, except ones that turn undead, and it retains its alignment, Intelligence, Wisdom, Charisma, and immunity to being charmed and frightened. It otherwise uses the possessed target's statistics, but doesn't gain access to the target's knowledge, class features, or proficiencies. The possession lasts until the body drops to 0 hit points, the $ ends it as a bonus action, or the $ is turned or forced out by an effect like the dispel evil and good spell. When the possession ends, the $ reappears in an unoccupied space within 5 feet of the body. The target is immune to this creature's Possession for 24 hours after succeeding on the saving throw or after the possession ends."
229,Mud Berath,Mud Mephit,Action,Debuff,"The $ belches viscid mud onto one creature within 5 feet of it. If the target is Medium or smaller, it must succeed on a DC ## Dexterity saving throw or be restrained for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
344,Frightening Gaze,Lich,Legendary Action,Debuff,"The $ fixes its gaze on one creature that it can see within 10 feet of it.  The target must succeed on a DC ## Wisdom saving throw or be frightened for 1 minute. A frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a target's saving throw is successful or the effect ends for it, the target is immune to the $'s gaze for the next 24 hours."
272,Sleep Gaze,Jackalwere,Action,Debuff,"The $ gazes at one creature it can see within 30 feet of it. The target must make a DC ## Wisdom saving throw. On a failed save, the target succumbs to a magical slumber, falling unconscious for 10 minutes or until someone uses an action to shake the target awake. A creature that successfully saves against the effect is immune to this creature's gaze for the next 24 hours. Undead and creatures immune to being charmed aren't effected by it."
306,Vengeful Glare,Revenant,Action,Debuff,"The $ targets one creature it can see within 30 feet of it and against which it has sworn vengeance. The target must make a DC ## Wisdom saving throw. On a failure, the target is paralyzed until the $ deals damage to it, or until the end of the $'s next turn. When the paralysis ends, the target is frightened of the $ for 1 minute. The frightened target can repeat the saving throw at the end of each of its turns, with disadvantage if it can see the $, ending the frightened condition on itself on a success."
331,Blinding Gaze,Solar,Legendary Action,Debuff,"The $ targets one creature it can see within 30 feet of it. If the target can see it, the target must succeed on a DC ## Constitution saving throw or be blinded until magic such as the lesser restoration spell removes the blindness."
360,Vile Curse,Demilich,Legendary Action,Debuff,"The $ targets one creature it can see within 30 feet of it. The target must succeed no a DC ## Wisdom saving throw or be magically cursed. Until the curse ends, the target has disadvantage on attack rolls and saving throws. The target can repeat the saving throw at the end of each of its turns, ending the curse on a success."
168,Enslave,Aboleth,Action,Debuff,"The $ targets one creature it can see within 30 feet of it. The target must succeed on a DC ## Wisdom saving throw or be magically charmed by the $ until the $ dies or until it is on a different plane of existence from the target. The charmed target is under the $'s control and can't take reactions, and the $ and the target can communicate telepathically with each other over any distance. Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the $."
163,Dreadful Glare,Mummy,Action,Debuff,"The $ targets one creature it can see within 60 feet of it. If the target can see the $, it must succeed on a DC ## Wisdom saving throw against this magic or become frightened until the end of the $'s next turn. If the target fails the saving throw by 5 or more, it is also paralyzed for the same duration. A target that succeeds on the saving throw is immune to the Dreadful Glare of all similar creatures for the next 24 hours."
142,Charm,Vampire,Action,Debuff,"The $ targets one humanoid it can see within 30 feet of it. If the target can see the $, the target must succeed on a DC ## Wisdom saving throw against this magic or be charmed by the $. The charmed target regards the $ as a trusted friend to be heeded and protected. Although the target isn't under the $'s control, it takes the $'s requests or actions in the most favorable way it can, and it is a willing target for the $'s attack. Each time the $ or the creatur's companions do anything harmful to the target, it can repeat the saving throw, ending the effect on itself on a success. Otherwise, the effect lasts 24 hours or until the vampire is destroyed, is on a different plane of existance than the target, or takes a bonus action to end the effect."
177,Fey Charm,Dryad,Action,Debuff,"The $ targets one humanoid or beast that it can see within 30 feet of it. If the target can see the $, it must succeed on a DC ## Wisdom saving throw or be magically charmed. The charmed creature regards the $ as a trusted friend to be heeded and protected. Although the target isn't under the $'s control, it takes the $'s requests or actions in the most favorable way it can. Each time the $ or its allies do anything harmful to the target, it can repeat the saving throw, ending the effect on itself on a success. Otherwise, the effect lasts 24 hours or until the $ dies, is on a different plane of existence from the target, or ends the effect as a bonus action. If a target's saving throw is successful, the target is immune to the $'s Fey Charm for the next 24 hours. The $ can have no more than one humanoid and up to three beasts charmed at a time."
326,Unnerving Mask,Chain Devil,Reaction,Debuff,"When a creature the $ can see starts its turn within 30 feet of the $, the $ can create the illusion that it looks like one of the $'s departed loved ones or bitter enemies. If the $ can see the $, it must succeed on a DC ## Wisdom saving throw or be frightened until the end of its next turn."
25,Corrosive Form,Black Pudding,Special Ability,Defense,"A creature that touches the $ or hits it with a melee attack while within 5 feet of it takes acid damage. Any nonmagical weapon made of metal or wood that hits the $ corrodes. After dealing damage, the weapon takes a permanent and cumulative -1 penalty to damage rolls. If its penalty drops to -5, the weapon is destroyed. Nonmagical ammunication made of metal or wood that hits the $ is destroyed after dealing damage. The $ can eat through 2-inch-thick, nonmagical wood or metal in 1 round."
41,Elemental Body,Azer,Special Ability,Defense,A creature that touches the $ or hits it with a melee attack while within 5 feet of it takes type damage.
87,Reflective Carapace,Tarrasque,Special Ability,Defense,"Any time the $ is targeted by a magic missile spell, a line spell, or a spell that requires a ranged attack roll, roll a d6. On a 1 to 5, the $ is unaffected. On a 6, the $ is unaffected, and the effect is reflected back at the caster as though it originated from the $, turning the caster into the target."
14,Barbed Hide,Barbed Devil,Special Ability,Defense,"At the start of each of its turns, the $ deals piercing damage to any creature grappling it."
40,Elemental Aura,Balor,Special Ability,Defense,"At the start of each of the $'s turns, each creature within 5 feet of it takes type damage. If fire: Flammable objects in the aura that aren't being worn or carried ignite. A creature that touches the $ or hits it with a melee attack while within 5 feet of it takes fire damage."
66,Legendary Resistance,Ancient Dragon,Special Ability,Defense,"If the $ fails a saving throw, it can choose to succeed instead."
12,Avoidance,Demilich,Special Ability,Defense,"If the $ is subjected to an effect that allows it to make a saving throw to take only half damage, it instead takes no damage if it succeeds on the saving throw, and only half damage if it fails."
323,Spell Reflection,Spectator,Reaction,Defense,"If the $ makes a successful saving throw against a spell, or a spell attack misses it, the $ can choose another creature (including the spellcaster) it can see within 30 feet of it. The spell targets the chosen creature instead of the spectator. If the spell forced a saving throw, the chosen creature makes its own save. If the spell was an attack, the attack roll is rerolled against the chosen creature."
50,Fiendish Blessing,Cambion,Special Ability,Defense,The AC of the $ includes its Charisma modifier.
320,Parry,Hobgobline Warlord,Reaction,Defense,"The $ adds # to its AC against one melee attack that would hit it. To do so, the $ must see the attacker and be wielding a melee weapon."
13,Axiomatic Mind,Monodrone,Special Ability,Defense,The $ can't be compelled to act in a manner contrary to its nature or its instructions.
103,Steadfast,Bearded Devil,Special Ability,Defense,The $ can't be frightened while it can see an allied creature within 30 feet of it.
9,Antimagic Cone,Beholder,Special Ability,Defense,"The $ creates an area of antimagic, as in the antimagic field spell, in an ##-foot cone/square/circle. At the start of each of its turns, the $ decides which way the shape faces and whether it is active. The area works against the $'s magic and magical effects."
98,Slippery,Kuo-Toa,Special Ability,Defense,The $ has advantage on ability checks and saving throws made to escape a grapple.
68,Magic Resistance,Balor,Special Ability,Defense,The $ has advantage on saving throws against spells and other magical effects.
116,Turn Resistance,Lich,Special Ability,Defense,The $ has advantage on saving throws against any effect that turns undead.
29,Dark Devotion,Cultist,Special Ability,Defense,The $ has advantage on saving throws against being charmed or frightened.
49,Fey Ancestry,Drow,Special Ability,Defense,"The $ has advantage on saving throws against being charmed, and magic can't put the $ to sleep."
19,Brave,Gladiator,Special Ability,Defense,The $ has advantage on saving throws against being frightened.
107,Sure-Footed,Dao,Special Ability,Defense,The $ has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.
62,Inscrutable,Androsphinx,Special Ability,Defense,"The $ is immune to any effect that would sense its emotions or read its thoughts, as well as any diviniation spell that it refuses. Wisdom (Insight) checks made to ascertain the $'s intentions or sincerity have disadvantage."
59,Immutable Form,Iron Golem,Special Ability,Defense,The $ is immune to any spell or effect that would alter its form.
115,Turn Immunity,Revenant,Special Ability,Defense,The $ is immune to effects that turn undead.
95,Shielded Mind,Couatl,Special Ability,Defense,"The $ is immune to scrying and to any effect that would sense its emotions, read its thoughts, or detect its location."
238,Phantasms,Cloaker,Action,Defense,"The $ magically creates three illusory duplicates of itself if it isn't in bright light. The duplicates move with it and mimic its actions, shifting positions so as to make it impossible to track which is the real one. If the $ is ever in an area of bright light, the duplicates disappear. Whenever any creature targets the $ with an attack or harmful spell while a duplicate remains, that creature rolls randomly to determine whether it targets the $ or one of its duplicates. A creature is unaffected by this magical effect if it can't see or if it relies on senses other than sight. A duplicate has the $'s AC and uses its saving throws. If an attack hits a duplicate, or if a duplicate fails a saving throw against an effect that deals damage, hte duplicate disappears."
345,Heal Self,Unicorn,Legendary Action,Defense,The $ magically regains hit points.
33,Displacement,Displacer Beast,Special Ability,Defense,"The $ projects a magical illusion that makes it appear to be standing near its actual location, causing attack rolls against it to have disadvantage. If it is hit by an attack, this trait is disrupted until the end of its next turn. This trait is also disrupted while the $ is incapacitated or has a speed of 0."
88,Regeneration,Troll,Special Ability,Defense,"The $ regains ## hit points at the start of its turn. If the $ takes type damage, this trait doesn't function at the start of the $'s next turn. The $ dies only if it starts its turn with 0 hit points and doesn't regenerate."
325,Sticky Shield,Kuo-Toa,Reaction,Defense,"When a creature misses the $ with a melee weapon attack, the $ uses its sticky shield to catch the weapon. The attacker must succeed on a DC ## Strength saving throw, or the weapon becomes stuck to the shield. If the weapon's wielder can't or won't let go of the weapon, the wielder is grappled while the weapon is stuck. While stuck, the weapon can't be used. A creature can pull the weapon free by taking an action to make a DC ## Strength check and succeeding."
321,Redirect Attack,Goblin Boss,Reaction,Defense,"When a creature that the $ can see targets it with an attack, the goblin chooses another similar creature within 5 feet of it. The two creatures swap places, and the chosen creature becomes the target instead."
27,Damage Absorption,Flesh Golem,Special Ability,Defense,"Whenever the $ is subjected to type damage, it takes no damage and instead regains a number of hit points equal to the type damage dealt."
28,Damage Transfer,Rug of Smothering,Special Ability,Defense,"While it is grappling a creature, the $ takes only half the damage dealt to it, and the $ grappled by the $ takes the other half."
83,Psychic Defense,Githzerai Monk,Special Ability,Defense,"While the $ is wearing no armor and wielding no shield, its AC includes its Wisdom modifier."
74,Mucous Cloud,Aboleth,Special Ability,Defense,"While underwater, the $ is surrounded by transformative mucus. A creature that touches the $ or that hits it with a melee attack while within 5 feet of it must make a DC ## Constitution saving throw. On a failure, the $ is diseased for 1d4 hours. The diseased creature can breathe only underwater."
117,Two Heads,Ettin,Special Ability,Defense Sense,"The $ has advantage on Wisdom (Perception) checks and on saving throws against being blinded, charmed, deafened, frightened, stunned, and knocked unconscious."
55,Hellish Rejuvination,Lemure,Special Ability,Heal,A creature that dies in the Nine Hells comes back to life with all its hit points in 1d10 days unless it is killed by a good-aligned creature with a bless spell cast on that creature or its remains are sprinkled with holy water.
118,Undead Fortitude,Zombie,Special Ability,Heal,"If damage reduces the $ to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the $ drops to 1 hit point instead."
89,Rejuvination,Lich,Special Ability,Heal,"If it has a phylactery, a destroyed creature gains a new body in 1d10 days, regaining all its hit points and becoming active again. The new body appears within 5 feet of the phylactery."
90,Relentless,Wereboar,Special Ability,Heal,"If the $ takes ## damage or less that would reduce it to 0 hit points, it is reduced to 1 hit points instead."
4,Aggressive,Orc,Special Ability,Movement,"As a bonus action, the $ can move up to its speed toward a hostile creature that it can see."
26,Cunning Action,Spy,Special Ability,Movement,"On each of its turns, the $ can use a bonus action to take the Dash, Disengage, or Hide action."
113,Tree Stride,Dryad,Special Ability,Movement,"Once on its turn, the $ can use 10 feet of its movement to step magically into one living tree within its reach and emerge from a second living tree within 60 feet of the first tree, appearingin in an unoccupied space within 5 feet of the second tree. Both trees must be once size bigger or bigger."
170,Ethereal Stride,Nightmare,Action,Movement,"The $ and up to three willing creatures within 5 feet of it magically enter the Ethereal Plane from the Material Plane, or vice versa."
37,Earth Glide,Earth Elemental,Special Ability,Movement,"The $ can burrow through nonmagical unworked earth and stone. While doing so, the $ doesn't disturb the material it moves through."
114,Tunneler,Umber Hulk,Special Ability,Movement,"The $ can burrow through solid rock at half its burrowing speed and leaves a 5-foot wide, 8-foot high tunnel in its wake."
101,Spider Climb,Ettercap,Special Ability,Movement,"The $ can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."
43,Elemental Form,Air Elemental,Special Ability,Movement,The $ can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing.
57,Icy Walk,White Dragon,Special Ability,Movement,"The $ can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doens't cost it extra movement."
6,Amorphous,Black Pudding,Special Ability,Movement,The $ can move through a space as narrow as 1 inch wide without squeezing.
60,Incorporeal Movement,Ghost,Special Ability,Movement,The $ can move through other creatures and objects as if they were difficult terrain. It takes force damage if it ends its turn inside an object.
109,Swarm,Sawrm of Insects,Special Ability,Movement,"The $ can occupy another creature's space and vice versa, and the $ can move through any opening large enough for a Tiny creature. The $ can't regain hit points or gain temporary hit points."
76,Nimble Escape,Goblin,Special Ability,Movement,The $ can take the Disengage or Hide action as a bonus action on each of its turns.
51,Flyby,Peryton,Special Ability,Movement,The $ doesn't provoke an opportunity attack when it flies out of an enemy's reach.
342,Flight,Demilich,Legendary Action,Movement,The $ flies up to half its flying speed.
120,Web Walker,Giant Spider,Special Ability,Movement,The $ ignores movement restrictions caused by webbing.
171,Etherealness,Night Hag,Action,Movement,"The $ magically enters the Ethereal Plane from the Material Plane or vice versa. To do so, the $ must have a heartstone in her possession."
298,Teleport,Balor,Action,Movement,"The $ magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see."
356,Teleport,Solar,Legendary Action,Movement,"The $ magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see."
361,Whirlwind of Sand,Mummy Lord,Legendary Action,Movement,"The $ magically transforms into a whirlwind of sand, moves up to 60 feet, and reverts to its normal form. While in whirlwind form, the $ is immune to all damage, and it can't be grappled, petrified, knocked prone, restrained, or stunned. Equipment worn or carried by the $ remains in its possession."
349,Move,Vampire,Legendary Action,Movement,The $ moves up to its speed without provoking opportunity attacks.
226,Mist Form,Yochlol,Action,Movement,"The $ transforms into toxic mist or reverts to its true form. Any equipment it is wearing or carrying is also transformed. It reverts to its true for if it dies. While in mist form, the $ is incapacitated and can't speak. It has a flying speed of 30 feet, can hover, and can pass through any space that isn't airtight. It has advantage on Strength, Dexterity, and Constitution saving throws, and it is immune to nonmagical damage. While in mist form, the $ can enter a creature's space and stop there. Each time that creature starts its turn with the $ in the same space, the $ must make a DC ## Constitution saving throw or be poisoned until the start of its next turn. While poisoned in this way, the target is incapacitated."
91,Running Leap,Barlgura,Special Ability,Movement,The $'s long jump is up to ## feet and its high jump is up to ## feet when it has a running start.
102,Standing Leap,Bullywug,Special Ability,Movement,"The $'s long jump is up to ## feet and its high jump is up to ## feet, with or without a running start."
20,Brute,Bugbear,Special Ability,Offense,A melee weapon deals one extra die of its damage when the $ hits with it (included in the attack).
86,Reckless,Minotaur,Special Ability,Offense,"At the start of its turn, the $ can gain advantage on all melee weapon attack rolls it makes during that turn, but attack rolls against it have advantage until the start of its next turn."
11,Assassinate,Assassin,Special Ability,Offense,"During its first turn, the $ has advantage on attack rolls against any creature that hasn't taken a turn. Any hit the $ scores against a surprised creature is a critical hit."
167,Enlarge,Duergar,Action,Offense,"For 1 minute, the $ magically increases in size, along with anything it is wearing or carrying. While enlarged, the $ is one size larger, doubles its damage dice on Strength-based weapon attacks (included in the attacks), and makes Strength checks and Strenght saving throws with advantage. If the $ lacks the room to become one size larger, it attains the maximum size possible in the space available."
79,Petrifying Gaze,Basilisk,Special Ability,Offense,"If a creature starts its turn within 30 feet of the $ and the two of them can see each other, the $ can force the $ to make a DC ## Constitution saving throw if the $ isn't incapacitated. On a failed save, the $ magically begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the $ is petrified until freed by greater restoration or other magic. A creature that isn't surprised can avert their eyes to avoid the saving throw at the start of its turn. If it does so, it can't see the $ until the start of its next turn, when it can avert its eyes again. If it looks at the $ in the meantime, it must immediately make the save. If the $ sees its reflection within 30 feet of it in bright light, it mistakes itself for a rival and targets itself with its gaze."
34,Dive,Aarakocra,Special Ability,Offense,"If the $ is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra type damage to the target."
108,Surprise Attack,Bugbear,Special Ability,Offense,"If the $ surprises a creature and hits it with an attack during the first round of combat, the target takes an extra damage from the attack."
85,Reactive,Marilith,Special Ability,Offense,The $ can take one reaction on every turn in combat.
128,Antannae,Rust Monster,Action,Offense,"The $ corrodes a nonmagical ferrous metal object it can see within 5 feet of it. If the object isn't being worn or carried, the touch destroys a 1-foot cube of it. If the object is being worn or carried by a creature, the $ can make a DC ## Dexterity saving throw to avoid the $'s touch. If the object touched is either metal armor or a metal shield being worn or carried, it takes a permanent and cumulative -1 penalty to the AC it offercs. Armor reduced to an AC of 10 or a shield that drops to +0 is destroyed. If the object touched is a held weapon, it rusts as described in the Rust Metal trait."
96,Siege Monster,Earth Elemental,Special Ability,Offense,The $ deals double damage to objects and structures.
78,Pack Tactics,Kobold,Special Ability,Offense,The $ has advantage on an attack roll against a creature if at least one of the $'s allies is within 5 feet of the $ and the ally isn't incapacitated.
54,Grappler,Mimic,Special Ability,Offense,The $ has advantage on attack rolls against any creature grappled by it.
5,Ambusher,Doppleganger,Special Ability,Offense,The $ has advantage on attack rolls against any creature it has surprised.
18,Blood Frenzy,Sahuagin,Special Ability,Offense,The $ has advantage on melee attack rolls against any creature that doesn't have all its hit points.
69,Magic Weapons,Balor,Special Ability,Offense,The $'s weapon attacks are magical.
